N,P,K,pH,EC,OC,Zn,Fe,Cu,Mn,Output
75,20,279,7.74,0.4,0.01,0.48,6.4,0.21,4.7,1
85,15.7,247,9.02,0.31,0.02,0.27,6.4,0.16,5.6,1
77,35.6,265,7.8,0.17,0.02,0.46,6.2,0.51,6.1,1
106,6.4,127,8.36,0.02,0.03,0.5,3.1,0.28,2.3,0
96,10.5,96,8.36,1.08,0.03,0.31,3.2,0.23,4.1,0
151,10.5,230,8.36,0.73,0.03,0.38,2.5,0.37,4.2,0
112,8,120,7.69,0.11,0.04,0.51,3.1,0.32,1.2,0
125,18.5,145,8.39,0.06,0.04,0.67,2.8,0.18,1.8,0
112,27,333,7.87,0.43,0.04,0.75,3.9,0.54,1.8,1
89,28.2,146,8.09,0.62,0.04,0.53,3.8,0.71,3.9,1
114,12,276,8.26,0.11,0.04,0.89,6.1,0.45,4.8,0
80,29,162,7.9,0.91,0.04,0.7,5.9,0.32,5.2,1
78,8.4,190,8.12,0.14,0.04,0.62,1,0.07,5.5,1
88,13.7,164,8.64,0.18,0.05,0.5,6.1,0.48,4.5,1
125,7.1,198,8.38,0.1,0.06,0.48,4.2,0.15,0.8,0
120,3.2,288,8.37,0.12,0.06,0.41,3.3,0.35,3.1,0
128,7.9,260,8.52,0.1,0.06,0.52,4,0.22,4.2,0
134,10.4,410,8.67,0.23,0.07,0.34,2.5,0.11,0.4,0
130,12.9,249,8.4,0.13,0.07,0.47,3.2,0.17,2.8,0
136,12,192,7.53,0.15,0.07,0.34,2.8,0.35,3.5,0
137,3.7,340,8.37,0.48,0.07,0.37,3.6,0.32,4.1,0
109,26.8,149,7.87,0.11,0.07,0.04,1.8,0.01,5.3,1
112,10,155,8.65,0.48,0.07,0.12,6.1,0.5,5.3,1
105,7,264,7.8,0.53,0.07,0.46,6.1,0.46,6.7,1
134,2.5,170,8.23,1.2,0.08,0.76,6.2,0.37,0.2,0
142,11,112,8.47,0.21,0.08,0.34,3,0.41,0.6,0
135,7.8,375,8.36,0.31,0.08,0.64,6.1,0.14,0.8,0
140,16,342,8.06,0.2,0.08,0.56,5.2,0.24,1.2,0
124,2.9,70,8.31,0.07,0.08,0.56,3.4,0.15,1.8,0
135,9.8,173,8.45,0.07,0.08,0.32,3,0.21,2.2,0
92,33.1,122,6.52,0.15,0.08,0.62,4.8,0.26,3.6,1
95,16.7,182,8.57,0.15,0.08,0.37,3.9,0.06,5.2,1
118,20.4,131,7.78,0.18,0.08,0.13,7.3,0.71,6.1,1
106,10.2,179,8.4,0.17,0.09,0.43,1.2,0.19,4.2,1
145,10.4,185,8.32,0.06,0.1,0.44,3.7,0.24,1.3,0
120,12,184,7.49,0.33,0.1,1.21,4.4,0.61,2.1,1
144,20,360,8.04,0.18,0.1,0.76,3.8,0.17,2.8,0
149,27.5,320,8.2,0.11,0.1,1.3,3.8,0.18,4.9,1
148,18.5,222,8.03,0.2,0.11,0.28,5.2,0.37,2.5,0
151,5,126,8.23,0.17,0.11,0.62,4.6,0.21,2.6,0
155,6.2,148,8.4,0.17,0.11,0.74,4.7,0.29,2.7,0
